nrows,nrec,tile_size,time,p_time
16,1,2,0.00186525,0
32,1,2,0.00401289,0
64,1,2,0.00763162,0
128,1,2,0.015333,0
256,1,2,0.0311866,0
512,1,2,0.0625842,0
1024,1,2,0.122975,0
2048,1,2,0.279163,0
16,1,4,0.000712997,0
32,1,4,0.00162672,0
64,1,4,0.00314297,0
128,1,4,0.00590901,0
256,1,4,0.0116183,0
512,1,4,0.0232919,0
1024,1,4,0.045589,0
2048,1,4,0.0991812,0
16,1,16,0.000230203,0
32,1,16,0.000568969,0
64,1,16,0.00121468,0
128,1,16,0.00238087,0
256,1,16,0.00490796,0
512,1,16,0.00979084,0
1024,1,16,0.0189291,0
2048,1,16,0.0390422,0
16,1,32,0.000318504,0
32,1,32,0.000554174,0
64,1,32,0.00102042,0
128,1,32,0.00195318,0
256,1,32,0.00382074,0
512,1,32,0.00759841,0
1024,1,32,0.0150557,0
2048,1,32,0.0300687,0
16,1,64,0.000494011,0
32,1,64,0.000839417,0
64,1,64,0.0016182,0
128,1,64,0.00313669,0
256,1,64,0.00616237,0
512,1,64,0.0122222,0
1024,1,64,0.0243338,0
2048,1,64,0.0485689,0
16,1,128,0.000872744,0
32,1,128,0.00149257,0
64,1,128,0.00273626,0
128,1,128,0.00552109,0
256,1,128,0.0108823,0
512,1,128,0.0216001,0
1024,1,128,0.0430324,0
2048,1,128,0.085915,0
16,2,2,0.0018622,0
32,2,2,0.00402496,0
64,2,2,0.00767465,0
128,2,2,0.015341,0
256,2,2,0.0312904,0
512,2,2,0.0624465,0
1024,2,2,0.123122,0
2048,2,2,0.280525,0
16,2,4,0.000711094,0
32,2,4,0.00162092,0
64,2,4,0.00314099,0
128,2,4,0.00590864,0
256,2,4,0.0116313,0
512,2,4,0.0232826,0
1024,2,4,0.0454724,0
2048,2,4,0.0992396,0
16,2,16,0.00021634,0
32,2,16,0.000564892,0
64,2,16,0.00120934,0
128,2,16,0.00237161,0
256,2,16,0.00489085,0
512,2,16,0.00974061,0
1024,2,16,0.0188461,0
2048,2,16,0.0388354,0
16,2,32,0.000317847,0
32,2,32,0.000453795,0
64,2,32,0.000866542,0
128,2,32,0.00156956,0
256,2,32,0.00317127,0
512,2,32,0.00687279,0
1024,2,32,0.0134624,0
2048,2,32,0.0273445,0
16,2,64,0.000494402,0
32,2,64,0.000840277,0
64,2,64,0.0011696,0
128,2,64,0.0022364,0
256,2,64,0.00438113,0
512,2,64,0.00865098,0
1024,2,64,0.0171949,0
2048,2,64,0.0342738,0
16,2,128,0.00087285,0
32,2,128,0.00149281,0
64,2,128,0.00273522,0
128,2,128,0.00363935,0
256,2,128,0.00713091,0
512,2,128,0.0140864,0
1024,2,128,0.0280175,0
2048,2,128,0.0558938,0
16,3,2,
32,3,2,
64,3,2,
128,3,2,
256,3,2,
512,3,2,
1024,3,2,
2048,3,2,
16,3,4,0.000709675,0
32,3,4,0.00161912,0
64,3,4,0.00313423,0
128,3,4,0.00590403,0
256,3,4,0.011628,0
512,3,4,0.0232669,0
1024,3,4,0.0454739,0
2048,3,4,0.0992248,0
16,3,16,0.000211728,0
32,3,16,0.000560124,0
64,3,16,0.00120782,0
128,3,16,0.00236688,0
256,3,16,0.00487865,0
512,3,16,0.00973021,0
1024,3,16,0.0187927,0
2048,3,16,0.0387576,0
16,3,32,0.000318039,0
32,3,32,0.000412641,0
64,3,32,0.000831265,0
128,3,32,0.00154815,0
256,3,32,0.00319476,0
512,3,32,0.00692556,0
1024,3,32,0.0136267,0
2048,3,32,0.0278244,0
16,3,64,0.000495042,0
32,3,64,0.000839207,0
64,3,64,0.000891856,0
128,3,64,0.00169313,0
256,3,64,0.00331719,0
512,3,64,0.00647044,0
1024,3,64,0.0134855,0
2048,3,64,0.0257553,0
16,3,128,0.00087315,0
32,3,128,0.00149269,0
64,3,128,0.00273613,0
128,3,128,0.00240304,0
256,3,128,0.00465321,0
512,3,128,0.00915847,0
1024,3,128,0.0181455,0
2048,3,128,0.0361372,0
16,4,2,
32,4,2,
64,4,2,
128,4,2,
256,4,2,
512,4,2,
1024,4,2,
2048,4,2,
16,4,4,
32,4,4,
64,4,4,
128,4,4,
256,4,4,
512,4,4,
1024,4,4,
2048,4,4,
16,4,16,0.000214549,0
32,4,16,0.000558391,0
64,4,16,0.00120521,0
128,4,16,0.00236695,0
256,4,16,0.00487811,0
512,4,16,0.00973445,0
1024,4,16,0.0188373,0
2048,4,16,0.0388045,0
16,4,32,0.000318395,0
32,4,32,0.000404634,0
64,4,32,0.000828776,0
128,4,32,0.00154668,0
256,4,32,0.00321007,0
512,4,32,0.00694409,0
1024,4,32,0.0137106,0
2048,4,32,0.0279257,0
16,4,64,0.000494186,0
32,4,64,0.000839624,0
64,4,64,0.000817377,0
128,4,64,0.00158508,0
256,4,64,0.00332582,0
512,4,64,0.00661497,0
1024,4,64,0.014177,0
2048,4,64,0.0261002,0
16,4,128,0.000873004,0
32,4,128,0.00149233,0
64,4,128,0.00273657,0
128,4,128,0.00183958,0
256,4,128,0.00353393,0
512,4,128,0.00692679,0
1024,4,128,0.0136928,0
2048,4,128,0.0272599,0
16,5,2,
32,5,2,
64,5,2,
128,5,2,
256,5,2,
512,5,2,
1024,5,2,
2048,5,2,
16,5,4,
32,5,4,
64,5,4,
128,5,4,
256,5,4,
512,5,4,
1024,5,4,
2048,5,4,
16,5,16,0.000210213,0
32,5,16,0.000558302,0
64,5,16,0.00120426,0
128,5,16,0.00236113,0
256,5,16,0.00487001,0
512,5,16,0.00972057,0
1024,5,16,0.0188001,0
2048,5,16,0.0387696,0
16,5,32,0.000317793,0
32,5,32,0.000410007,0
64,5,32,0.000832541,0
128,5,32,0.00155028,0
256,5,32,0.00320326,0
512,5,32,0.00693221,0
1024,5,32,0.0136683,0
2048,5,32,0.0278484,0
16,5,64,0.000494337,0
32,5,64,0.00084089,0
64,5,64,0.000798368,0
128,5,64,0.00158752,0
256,5,64,0.00333661,0
512,5,64,0.00665028,0
1024,5,64,0.014293,0
2048,5,64,0.0262233,0
16,5,128,0.000872852,0
32,5,128,0.00149405,0
64,5,128,0.00273813,0
128,5,128,0.00163255,0
256,5,128,0.00325984,0
512,5,128,0.00649737,0
1024,5,128,0.0126195,0
2048,5,128,0.0257094,0
16,6,2,
32,6,2,
64,6,2,
128,6,2,
256,6,2,
512,6,2,
1024,6,2,
2048,6,2,
16,6,4,
32,6,4,
64,6,4,
128,6,4,
256,6,4,
512,6,4,
1024,6,4,
2048,6,4,
16,6,16,
32,6,16,
64,6,16,
128,6,16,
256,6,16,
512,6,16,
1024,6,16,
2048,6,16,
16,6,32,0.000318424,0
32,6,32,0.000402719,0
64,6,32,0.000831057,0
128,6,32,0.00154642,0
256,6,32,0.00321424,0
512,6,32,0.00693809,0
1024,6,32,0.0136963,0
2048,6,32,0.0279424,0
16,6,64,0.000494061,0
32,6,64,0.000840141,0
64,6,64,0.00080887,0
128,6,64,0.00158652,0
256,6,64,0.00332819,0
512,6,64,0.00662549,0
1024,6,64,0.0142206,0
2048,6,64,0.0261572,0
16,6,128,0.000872626,0
32,6,128,0.00149197,0
64,6,128,0.00273625,0
128,6,128,0.0016182,0
256,6,128,0.00318659,0
512,6,128,0.00649595,0
1024,6,128,0.0127263,0
2048,6,128,0.0259116,0
16,7,2,
32,7,2,
64,7,2,
128,7,2,
256,7,2,
512,7,2,
1024,7,2,
2048,7,2,
16,7,4,
32,7,4,
64,7,4,
128,7,4,
256,7,4,
512,7,4,
1024,7,4,
2048,7,4,
16,7,16,
32,7,16,
64,7,16,
128,7,16,
256,7,16,
512,7,16,
1024,7,16,
2048,7,16,
16,7,32,
32,7,32,
64,7,32,
128,7,32,
256,7,32,
512,7,32,
1024,7,32,
2048,7,32,
16,7,64,0.000493797,0
32,7,64,0.000840402,0
64,7,64,0.000784641,0
128,7,64,0.00159091,0
256,7,64,0.00334013,0
512,7,64,0.00665025,0
1024,7,64,0.0143056,0
2048,7,64,0.0262709,0
16,7,128,0.000873312,0
32,7,128,0.00149301,0
64,7,128,0.00273669,0
128,7,128,0.00161587,0
256,7,128,0.00323461,0
512,7,128,0.0065077,0
1024,7,128,0.0126222,0
2048,7,128,0.0257346,0
16,8,2,
32,8,2,
64,8,2,
128,8,2,
256,8,2,
512,8,2,
1024,8,2,
2048,8,2,
16,8,4,
32,8,4,
64,8,4,
128,8,4,
256,8,4,
512,8,4,
1024,8,4,
2048,8,4,
16,8,16,
32,8,16,
64,8,16,
128,8,16,
256,8,16,
512,8,16,
1024,8,16,
2048,8,16,
16,8,32,
32,8,32,
64,8,32,
128,8,32,
256,8,32,
512,8,32,
1024,8,32,
2048,8,32,
16,8,64,
32,8,64,
64,8,64,
128,8,64,
256,8,64,
512,8,64,
1024,8,64,
2048,8,64,
16,8,128,0.000873272,0
32,8,128,0.00149437,0
64,8,128,0.00273864,0
128,8,128,0.00160097,0
256,8,128,0.00315744,0
512,8,128,0.00648185,0
1024,8,128,0.0127465,0
2048,8,128,0.0259717,0
