nrows,nrec,tile_size,time,p_time
16,4,16,0.000543087,2e-06
32,4,16,0.000631773,2e-06
64,4,16,0.00076407,2.05e-06
128,4,16,0.00121141,2e-06
256,4,16,0.00207255,2e-06
512,4,16,0.00507303,2e-06
1024,4,16,0.0243502,0.247116
2048,4,16,0.0641199,0.483076
16,4,32,0.000541258,2e-06
32,4,32,0.000630146,2e-06
64,4,32,0.00075939,2e-06
128,4,32,0.00120926,2e-06
256,4,32,0.00206845,2e-06
512,4,32,0.00507496,2e-06
1024,4,32,0.0242325,0.24726
2048,4,32,0.0642106,0.483037
16,4,64,0.000542203,2e-06
32,4,64,0.000629636,2e-06
64,4,64,0.000758023,2e-06
128,4,64,0.00121214,2e-06
256,4,64,0.00206907,2e-06
512,4,64,0.00507098,2e-06
1024,4,64,0.024329,0.24716
2048,4,64,0.0640989,0.483144
16,4,128,0.000544152,2e-06
32,4,128,0.000634262,2.05e-06
64,4,128,0.000763054,2e-06
128,4,128,0.00120889,2e-06
256,4,128,0.00206941,2e-06
512,4,128,0.00507048,2e-06
1024,4,128,0.0243119,0.247113
2048,4,128,0.0641539,0.48309
16,5,2,0.000544802,2e-06
32,5,2,0.000634754,2e-06
64,5,2,0.000759694,2e-06
128,5,2,0.00121259,2e-06
256,5,2,0.00207081,2e-06
512,5,2,0.00507324,2e-06
1024,5,2,0.0242917,0.247221
2048,5,2,0.0642789,0.482975
16,5,4,0.000542098,2e-06
32,5,4,0.000631263,2e-06
64,5,4,0.000759261,2e-06
128,5,4,0.00120921,2e-06
256,5,4,0.00207399,2e-06
512,5,4,0.00507567,2e-06
1024,5,4,0.0243615,0.247153
2048,5,4,0.0642336,0.483013
16,5,16,0.000542462,2e-06
32,5,16,0.000631101,2e-06
64,5,16,0.000759607,2e-06
128,5,16,0.001212,2e-06
256,5,16,0.0020691,2e-06
512,5,16,0.0050708,2e-06
1024,5,16,0.0243192,0.247131
2048,5,16,0.0643365,0.482909
16,5,32,0.000541576,2e-06
32,5,32,0.000633974,2e-06
64,5,32,0.000760777,2e-06
128,5,32,0.00120664,2e-06
256,5,32,0.00206688,2e-06
512,5,32,0.00506967,2.05e-06
1024,5,32,0.024293,0.247228
2048,5,32,0.0642573,0.482992
16,5,64,0.000542189,2.1e-06
32,5,64,0.000631161,2e-06
64,5,64,0.00075751,2e-06
128,5,64,0.00121049,2e-06
256,5,64,0.00206778,2e-06
512,5,64,0.00507269,2e-06
1024,5,64,0.0242407,0.247267
2048,5,64,0.0642018,0.483046
16,5,128,0.000542617,2e-06
32,5,128,0.000635121,2e-06
64,5,128,0.000760981,2e-06
128,5,128,0.00120909,2e-06
256,5,128,0.00206844,2e-06
512,5,128,0.0050737,2e-06
1024,5,128,0.0243509,0.247164
2048,5,128,0.0641437,0.483107
16,6,2,0.000542209,2e-06
32,6,2,0.000633341,2e-06
64,6,2,0.000757722,2e-06
128,6,2,0.00121172,2e-06
256,6,2,0.00206868,2e-06
512,6,2,0.00507051,2e-06
1024,6,2,0.0243516,0.247141
2048,6,2,0.064215,0.483035
16,6,4,0.000542629,2e-06
32,6,4,0.000632846,2e-06
64,6,4,0.000758536,2e-06
128,6,4,0.00121068,2e-06
256,6,4,0.00206817,2e-06
512,6,4,0.00506977,2e-06
1024,6,4,0.0243096,0.247258
2048,6,4,0.0640644,0.483171
16,6,16,0.000544263,2.05e-06
32,6,16,0.000636127,2e-06
64,6,16,0.000762463,2e-06
128,6,16,0.00121304,2e-06
256,6,16,0.00207346,2e-06
512,6,16,0.00507074,2e-06
1024,6,16,0.0242702,0.247166
2048,6,16,0.0641939,0.483051
16,6,32,0.000540969,2e-06
32,6,32,0.000631401,2e-06
64,6,32,0.000758189,2e-06
128,6,32,0.00121015,2e-06
256,6,32,0.00206637,2e-06
512,6,32,0.00506904,2e-06
1024,6,32,0.0243036,0.2472
2048,6,32,0.0641976,0.483075
16,6,64,0.000544821,2e-06
32,6,64,0.000632481,2e-06
64,6,64,0.000760048,2e-06
128,6,64,0.00121098,2e-06
256,6,64,0.00207004,2e-06
512,6,64,0.00507109,2.05e-06
1024,6,64,0.0242771,0.247224
2048,6,64,0.0641838,0.48307
16,6,128,0.000542383,2e-06
32,6,128,0.000629137,2e-06
64,6,128,0.000759082,2e-06
128,6,128,0.00120906,2e-06
256,6,128,0.00206877,2e-06
512,6,128,0.00506856,2e-06
1024,6,128,0.0243398,0.247077
2048,6,128,0.0642445,0.483003
16,7,2,0.000544722,2e-06
32,7,2,0.000632618,2e-06
64,7,2,0.000760453,2e-06
128,7,2,0.00121206,2e-06
256,7,2,0.00206837,2e-06
512,7,2,0.00507015,2e-06
1024,7,2,0.0242887,0.247192
2048,7,2,0.0641966,0.483054
16,7,4,0.000545107,2e-06
32,7,4,0.000634403,2e-06
64,7,4,0.000762375,2e-06
128,7,4,0.00121517,2e-06
256,7,4,0.00207064,2e-06
512,7,4,0.00507313,2e-06
1024,7,4,0.024282,0.247139
2048,7,4,0.0641677,0.483077
16,7,16,0.000544056,2e-06
32,7,16,0.000632847,2e-06
64,7,16,0.000756725,2e-06
128,7,16,0.00120994,2e-06
256,7,16,0.00206661,2e-06
512,7,16,0.00506625,2e-06
1024,7,16,0.0242538,0.247171
2048,7,16,0.064183,0.483062
16,7,32,0.000545168,2e-06
32,7,32,0.000630443,2e-06
64,7,32,0.000759331,2e-06
128,7,32,0.00120965,2e-06
256,7,32,0.00206647,2e-06
512,7,32,0.00506883,2e-06
1024,7,32,0.0242937,0.247177
2048,7,32,0.0642822,0.482971
16,7,64,0.000542812,2e-06
32,7,64,0.000632831,2e-06
64,7,64,0.000762219,2e-06
128,7,64,0.00121053,2e-06
256,7,64,0.00207111,2e-06
512,7,64,0.00507381,2e-06
1024,7,64,0.024402,0.247069
2048,7,64,0.0642355,0.482964
16,7,128,0.00054313,2.05e-06
32,7,128,0.000630797,2e-06
64,7,128,0.000759763,2e-06
128,7,128,0.00121312,2e-06
256,7,128,0.00206872,2e-06
512,7,128,0.00506849,2e-06
1024,7,128,0.024266,0.247226
2048,7,128,0.0641818,0.483063
16,8,2,0.000542151,2e-06
32,8,2,0.000632109,2e-06
64,8,2,0.000762664,2e-06
128,8,2,0.00121458,2e-06
256,8,2,0.0020747,2e-06
512,8,2,0.00506867,2e-06
1024,8,2,0.0243083,0.247138
2048,8,2,0.0642381,0.483008
16,8,4,0.000544327,2e-06
32,8,4,0.000633076,2e-06
64,8,4,0.000761986,2e-06
128,8,4,0.00121685,2.1e-06
256,8,4,0.00207138,2e-06
512,8,4,0.00507461,2e-06
1024,8,4,0.024304,0.247044
2048,8,4,0.0642254,0.483023
16,8,16,0.000542877,2e-06
32,8,16,0.00063282,2e-06
64,8,16,0.000759702,2e-06
128,8,16,0.00121,2e-06
256,8,16,0.00206764,2e-06
512,8,16,0.00506794,2e-06
1024,8,16,0.0242912,0.247117
2048,8,16,0.0641243,0.48311
16,8,32,0.000539737,2e-06
32,8,32,0.000631366,2e-06
64,8,32,0.000758048,2e-06
128,8,32,0.00121318,2e-06
256,8,32,0.00207254,2e-06
512,8,32,0.00507063,2e-06
1024,8,32,0.0242857,0.247189
2048,8,32,0.0642709,0.48297
16,8,64,0.000546253,2e-06
32,8,64,0.000632636,2e-06
64,8,64,0.000758658,2e-06
128,8,64,0.00121101,2e-06
256,8,64,0.00206919,2e-06
512,8,64,0.00507158,2e-06
1024,8,64,0.0242992,0.247221
2048,8,64,0.0642566,0.482994
16,8,128,0.000542754,2e-06
32,8,128,0.000631322,2e-06
64,8,128,0.000758934,2e-06
128,8,128,0.00120926,2e-06
256,8,128,0.00206628,2e-06
512,8,128,0.00507094,2e-06
1024,8,128,0.024332,0.247197
2048,8,128,0.0641275,0.483075
