batch_size,nrows,time,p_time
16,16,4.59028e-05,0
16,32,5.23474e-05,0
16,64,6.39453e-05,0
16,128,8.55013e-05,0
16,256,0.000134783,0
16,512,0.000227717,0
16,1024,0.000526472,0
16,2048,0.000774955,0
32,16,4.69815e-05,0
32,32,5.2558e-05,0
32,64,6.41665e-05,0
32,128,8.91431e-05,0
32,256,0.000135558,0
32,512,0.000217235,0
32,1024,0.000397069,0
32,2048,0.000747008,0
64,16,4.76423e-05,0
64,32,5.11399e-05,0
64,64,6.4816e-05,0
64,128,8.91884e-05,0
64,256,0.000131129,0
64,512,0.000228156,0
64,1024,0.000399227,0
64,2048,0.00078613,0
128,16,4.78114e-05,0
128,32,5.31219e-05,0
128,64,6.62071e-05,0
128,128,8.9559e-05,0
128,256,0.000136016,0
128,512,0.000229892,0
128,1024,0.000417895,0
128,2048,0.000781694,0
256,16,4.77519e-05,0
256,32,5.47255e-05,0
256,64,6.66548e-05,0
256,128,9.00662e-05,0
256,256,0.000138239,0
256,512,0.000225343,0
256,1024,0.000405062,0
256,2048,0.000664073,0
512,16,4.9112e-05,0
512,32,5.52697e-05,0
512,64,6.69889e-05,0
512,128,9.25031e-05,0
512,256,0.000140766,0
512,512,0.000235126,0
512,1024,0.00044304,0
512,2048,0.000872054,0
1024,16,4.88536e-05,0
1024,32,5.42928e-05,0
1024,64,6.85439e-05,0
1024,128,9.69077e-05,0
1024,256,0.000148133,0
1024,512,0.000260437,0
1024,1024,0.000495758,0
1024,2048,0.000963683,0
2048,16,4.84807e-05,0
2048,32,5.65043e-05,0
2048,64,7.21789e-05,0
2048,128,9.90678e-05,0
2048,256,0.000161466,0
2048,512,0.000279605,0
2048,1024,0.00056632,0
2048,2048,0.00108771,0
4096,16,5.28699e-05,0
4096,32,6.21314e-05,0
4096,64,8.10214e-05,0
4096,128,0.000120702,0
4096,256,0.000204952,0
4096,512,0.000356254,0
4096,1024,0.000663514,0
4096,2048,0.00135443,0
8192,16,6.57453e-05,0
8192,32,8.39241e-05,0
8192,64,0.000123364,0
8192,128,0.000203405,0
8192,256,0.000362408,0
8192,512,0.000646039,0
8192,1024,0.00128,0
8192,2048,0.00250068,0
16384,16,8.59718e-05,0
16384,32,0.000118503,0
16384,64,0.000200088,0
16384,128,0.000347247,0
16384,256,0.00060969,0
16384,512,0.00124968,0
16384,1024,0.00229222,0
16384,2048,0.00486124,0
32768,16,0.000126457,0
32768,32,0.000183992,0
32768,64,0.000336509,0
32768,128,0.000613147,0
32768,256,0.00113891,0
32768,512,0.00230766,0
32768,1024,0.00456997,0
32768,2048,0.00775052,0
65536,16,0.000210823,0
65536,32,0.000332604,0
65536,64,0.000568439,0
65536,128,0.00115554,0
65536,256,0.00220651,0
65536,512,0.00446346,0
65536,1024,0.00862168,0
65536,2048,0.0149115,0
131072,16,0.000372646,0
131072,32,0.000640123,0
131072,64,0.00107864,0
131072,128,0.00216967,0
131072,256,0.00417698,0
131072,512,0.00831611,0
131072,1024,0.0148096,0
131072,2048,0.0289618,0
